paper_id,level,stem,md_exists,n_html_tables,n_tr_rows,has_html_table,n_images,si_dir_exists,n_si_pdfs,total_md_lines,extract_strategy
P01511,A,2023_Tan YGHGWSNFY et al_JEnvironSci_10.1016-j.jes.2022.04.038,True,0,0,False,23,False,0,250,figure_only
P01595,A,2023_Hou Y et al_JHazardMater_10.1016-j.jhazmat.2023.130934,True,1,11,True,30,True,0,342,html_table
P01603,A,10.1016_j.jhazmat.2023.132408,True,0,0,False,23,True,0,44,figure_only
P01836,A,10.1016_j.scitotenv.2023.167337,True,0,0,False,12,True,0,44,figure_only
P09065,A,2024_Liu Y et al_JHazardMater_null_2,True,2,19,True,17,False,0,241,html_table
P11424,A,2023_Wu J et al_SciTotalEnviron_null,True,2,91,True,29,False,0,385,html_table
P11439,A,2023_刘泽浩_土壤_null,True,13,97,True,93,False,0,1293,html_table
P01169,A,2022_PAHs E et al_Chemosphere_10.1016-j.chemosphere.2022.133734_1,True,0,0,False,17,False,0,276,figure_only
P01177,A,2022_Hu T et al_Chemosphere_10.1016-j.chemosphere.2022.136788_1,True,4,81,True,19,False,0,369,html_table
P01587,A,2022_Wang X et al_EnvironPollut_10.1016-j.jhazmat.2022.129727,True,1,3,True,18,True,0,323,html_table
P03334,A,2025_龚庆碗_生物化工_10.20284-j.cnki.swhg.2025.06.033,True,5,45,True,8,False,0,182,html_table
P03780,A,10.3389_fenvs.2022.990471_CrossrefPage,True,6,111,True,19,False,0,332,html_table
P04243,A,10_3390_ijerph191912860,True,3,39,True,14,False,0,264,html_table
P04258,A,10.3390_ijerph192416930,True,2,36,True,17,True,0,327,html_table
P10958,A,2017_物联合修_土壤_null,True,16,115,True,93,False,0,1295,html_table
P11323,A,2022_Liang T et al_SciTotalEnviron_null,True,0,0,False,2,False,0,52,figure_only
P11365,A,2022_陈驰_Unknown_null,True,22,157,True,76,False,0,1416,html_table
P01783,A,2021_Zhouetal_SciTotalEnviron_10.1016-j.scitotenv.2020.141924,True,2,29,True,8,False,0,348,html_table
P01936,A,2021_Hu J et al_EnvironPollut_10.1021-acs.est.0c07983,True,0,0,False,13,False,0,285,figure_only
P08407,A,2021_Fan G et al_Chemosphere_null,True,1,5,True,15,False,0,262,html_table
P08851,A,2023_Lu X et al_EcotoxicolEnvironSaf_null,True,4,53,True,56,False,0,414,html_table
P09544,A,2026_Zhang X et al_JEnvironManage_null,True,0,0,False,1,False,0,30,figure_only
P11214,A,2021_Fan G et al_Chemosphere_null_1,True,1,5,True,15,False,0,262,html_table
P11241,A,2021_Liu Q et al_EnvironPollut_null,True,0,0,False,1,False,0,37,figure_only
P11254,A,2021_PAHs et al_EnvironPollut_null_from_sub,True,3,56,True,20,False,0,376,html_table
P01219,A,10.1016_j.ecoenv.2020.110651,True,2,30,True,9,True,0,236,html_table
P08569,A,2021_Unknown_SciTotalEnviron_null_from_sub,True,2,29,True,14,False,0,348,html_table
P00689,A,2019_Hu E et al_EnvironSciPollutRes_10.1007-s11356-019-04308-w,True,1,8,True,20,False,0,318,html_table
P01215,A,10.1016_j.ecoenv.2019.05.027,True,1,9,True,14,True,0,337,html_table
P01545,A,2018_Wu S et al_JHazardMater_10.1016-j.jhazmat.2018.09.082,True,3,20,True,16,False,0,295,html_table
P01547,A,2018_Wuetal_JHazardMater_10.1016-j.jhazmat.2018.09.094,True,3,20,True,27,True,0,395,html_table
P04119,A,2019_Hydrocarbons_EnvironRes_10.3390-ijerph16071155,True,1,2,False,12,False,0,218,figure_only
P08060,A,2019_Wu Z et al_EcotoxicolEnvironSaf_null,True,1,9,True,14,False,0,337,html_table
P04105,A,2018_Metal RPT_EnvironRes_10.3390-ijerph15112595,True,5,24,True,16,False,0,310,html_table
P01301,A,10.1016_j.envpol.2017.08.003,True,4,22,True,11,True,0,322,html_table
P02099,A,2017_Zhangetal_SciRep_10.1038-s41598-017-12437-w,True,0,0,False,17,False,0,351,figure_only
P07518,A,2017_Distributions_EnvironRes_10.3390-ijerph14101179,True,2,30,True,18,False,0,322,html_table
P11556,A,2024_桂衍瑾_Unknown_null,True,20,200,True,80,False,0,1183,html_table
P01539,A,2015_Chen F et al_JHazardMater_10.1016-j.jhazmat.2015.09.068,True,6,139,True,17,False,0,330,html_table
P00630,A,10.1007_s11356-015-5249-1,True,3,42,True,8,True,0,227,html_table
P00753,A,2015_Chen R et al_JSoilsSediments_10.1007-s11368-015-1093-7,True,2,21,True,10,False,0,292,html_table
P01207,A,10.1016_j.ecoenv.2015.09.005,True,3,99,True,16,True,0,340,html_table
P06607,A,2012_Cao L et al_Science_null,True,6,46,True,19,False,0,317,html_table
P06579,A,2011_Zhang Q et al_EnvironPollut_null,True,3,41,True,10,False,0,282,html_table
P10733,A,2014_Zhang Q et al_EnvironPollut_null,True,3,41,True,10,False,0,282,html_table
