DOI,Source,Latitude,Longitude,Province,Pollution_Type,SoilpH,pH,OC_pct,Sum_PAH_ngg,BaP_ngg,SumOCP_ngg,SumDDTs_ngg,SumPCB_ngg,SumHCHs_ngg,SumPAE_ugkg,SumPBDE_ngg,SumPFAS_ngg,TPH_ngg,HMWPAH_ngg,LMWPAH_ngg,标签_生产,标签_生态,标签,id_DOI,id_Source,split_source,is_synthetic
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,28.9891,120.0718,浙江,PAH,,,,611.28,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,23.1061,113.3337,广东,PAH,,,,303.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,23.1281,113.1088,广东,PAH,,,,705.0,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,40.0737,116.2138,北京,PAH,,,,271.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,39.975,116.3035,北京,PAH,,,,336.4,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,23.138,113.1847,广东,PAH,,,,3917.0,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,39.7839,116.4187,北京,PAH,,,,116.0,,,,,,,,,,,,0,0,0,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,31.3401,121.6578,上海,PAH,,,,1228.1,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,31.3879,121.6458,上海,PAH,,,,665.8,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,32.2287,118.8192,安徽,PAH,,,,3290.0,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,29.7484,121.3854,浙江,PAH,,,,1060.0,,,,,,,,,,,,1,1,1,10.3389/fenvs.2023.1114027,PAH_Frontiers2023_He2023,real_model_ready,False
