factor_id,factor_name_norm,factor_name_raw,track,diagnosis_layer,threshold_role,land_use_target,scenario,standard_source,standard_level,threshold_type,upper_limit,lower_limit,ideal_min,ideal_max,unit,threshold_version,evidence_level,source_file,source_version,source_row_id,notes
154,溴仿,溴仿,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,910,农产品安全关键指标
114,氯苯,氯苯,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,906,农产品安全关键指标
80,氯甲烷,氯甲烷,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,902,农产品安全关键指标
130,硝基苯,硝基苯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,919,农产品安全关键指标
138,BaP_ngg,苯并[a]芘,production,supplementary_screening,screening_reference,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,933,农产品安全关键指标
122,苯乙烯,苯乙烯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,930,农产品安全关键指标
112,苯,苯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,925,农产品安全关键指标
78,氯仿,氯仿,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,898,农产品安全关键指标
208,多氯联苯(总量),多氯联苯(总量),production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,879,农产品安全关键指标
76,四氯化碳,四氯化碳,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,878,农产品安全关键指标
100,四氯乙烯,四氯乙烯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,874,农产品安全关键指标
,反-12-二氯乙烯,反-12-二氯乙烯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,870,农产品安全关键指标
216,多溴联苯(总量),多溴联苯(总量),production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,883,农产品安全关键指标
110,氯乙烯,氯乙烯,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,894,农产品安全关键指标
182,氯丹,氯丹,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,889,农产品安全关键指标
136,苯并[a]蒽,苯并[a]蒽,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,937,农产品安全关键指标
,pp'-滴滴伊,pp'-滴滴伊,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,987,重点监测因子；农产品安全关键指标
,顺-12-二氯乙烯,顺-12-二氯乙烯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,983,农产品安全关键指标
,pp'-滴滴滴,pp'-滴滴滴,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,988,重点监测因子；农产品安全关键指标
126,间-二甲苯+对-二甲苯,间-二甲苯+对-二甲苯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,979,农产品安全关键指标
176,邻苯二甲酸二正辛酯,邻苯二甲酸二正辛酯,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,975,农产品安全关键指标
172,邻苯二甲酸二(2-乙基己基)酯,邻苯二甲酸二(2-乙基己基)酯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,970,农产品安全关键指标
132,苯胺,苯胺,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,951,农产品安全关键指标
142,苯并[k]荧蒽,苯并[k]荧蒽,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,947,农产品安全关键指标
,茚并[123-cd]芘,茚并[123-cd]芘,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,952,农产品安全关键指标
140,苯并[b]荧蒽,苯并[b]荧蒽,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,943,农产品安全关键指标
174,邻苯二甲酸丁基苄酯,邻苯二甲酸丁基苄酯,production,formal,direct_standard,生产,第一类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,967,农产品安全关键指标
128,邻-二甲苯,邻-二甲苯,production,formal,direct_standard,生产,第二类用地,质量建设用地土壤污染风险管控标准GB36600-2018,国家标准,conditional,,,,,mg/kg,v0.7,A,20251015_V1.6合并版,V1.6,963,农产品安全关键指标
