paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_FX2,SumHCH_ngg,0.38,Unknown,table_p5_ri24_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_FX3,SumDDT_ngg,0.46,Unknown,table_p5_ri25_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_FX3,SumHCH_ngg,1.32,Unknown,table_p5_ri25_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_FX4,SumDDT_ngg,0.69,Unknown,table_p5_ri26_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_FX4,SumHCH_ngg,2.26,Unknown,table_p5_ri26_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_FX5,SumDDT_ngg,2.47,Unknown,table_p5_ri27_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_FX5,SumHCH_ngg,1.0,Unknown,table_p5_ri27_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_NH1,SumHCH_ngg,1.0,Unknown,table_p5_ri28_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_NH2,SumDDT_ngg,1.15,Unknown,table_p5_ri29_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_NH2,SumHCH_ngg,1.51,Unknown,table_p5_ri29_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_NH3,SumDDT_ngg,1.03,Unknown,table_p5_ri30_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_NH3,SumHCH_ngg,1.54,Unknown,table_p5_ri30_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_NH4,SumDDT_ngg,1.07,Unknown,table_p5_ri31_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_NH4,SumHCH_ngg,2.77,Unknown,table_p5_ri31_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_CM1,SumHCH_ngg,2.13,Unknown,table_p5_ri32_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_CM2,SumDDT_ngg,6.6,Unknown,table_p5_ri33_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_CM3,SumDDT_ngg,1.66,Unknown,table_p5_ri34_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_CM3,SumHCH_ngg,3.75,Unknown,table_p5_ri34_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_CM4,SumDDT_ngg,1.67,Unknown,table_p5_ri35_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72400_j.jhazmat.2009.05.082,72400_j.jhazmat.2009.05.082_CM4,SumHCH_ngg,2.33,Unknown,table_p5_ri35_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
