paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D2,OC_pct,32.0,Unknown,table_p8_ri10_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D2,Sum_PAH_ngg,10.0,Unknown,table_p8_ri10_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D2,OC_pct,10.0,Unknown,table_p8_ri10_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D2,BaA_ngg,0.33,Unknown,table_p8_ri10_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D2,Chr_ngg,0.33,Unknown,table_p8_ri10_ci7,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D2,BghiP_ngg,0.52,Unknown,table_p8_ri10_ci8,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D3,Sum_PAH_ngg,498.0,Unknown,table_p8_ri11_ci1,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D3,Sum_PAH_ngg,455.0,Unknown,table_p8_ri11_ci2,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D3,Sum_PAH_ngg,43.0,Unknown,table_p8_ri11_ci3,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D3,Sum_PAH_ngg,111.0,Unknown,table_p8_ri11_ci5,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D3,Sum_PAH_ngg,10.0,Unknown,table_p8_ri11_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
j.chemosphere.2019.03.001,j.chemosphere.2019.03.001_D3,OC_pct,10.0,Unknown,table_p8_ri11_ci6,soil,,,phase14_batch2; matrix=score=162:high; conf=high; flag=,,
