paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,125.0,Unknown,table_p3_ri42_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri42_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri42_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col6,SumPCB_ngg,0.0,Unknown,table_p3_ri42_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col8,SumPCB_ngg,0.0,Unknown,table_p3_ri42_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col10,SumPCB_ngg,0.0,Unknown,table_p3_ri42_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col12,SumPCB_ngg,0.0,Unknown,table_p3_ri42_ci12,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,126.0,Unknown,table_p3_ri43_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri43_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri43_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col6,SumPCB_ngg,0.0,Unknown,table_p3_ri43_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col8,SumPCB_ngg,0.0,Unknown,table_p3_ri43_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col10,SumPCB_ngg,0.0,Unknown,table_p3_ri43_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col12,SumPCB_ngg,0.0,Unknown,table_p3_ri43_ci12,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,127.0,Unknown,table_p3_ri44_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,44.65,Unknown,table_p3_ri44_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,8.35,Unknown,table_p3_ri44_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col6,SumPCB_ngg,0.48,Unknown,table_p3_ri44_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col8,SumPCB_ngg,15.97,Unknown,table_p3_ri44_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col10,SumPCB_ngg,7.33,Unknown,table_p3_ri44_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col11,SumPCB_ngg,0.17,Unknown,table_p3_ri44_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,134.0,Unknown,table_p3_ri45_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri45_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri45_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col6,SumPCB_ngg,0.0,Unknown,table_p3_ri45_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col8,SumPCB_ngg,0.0,Unknown,table_p3_ri45_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col10,SumPCB_ngg,0.0,Unknown,table_p3_ri45_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col11,SumPCB_ngg,0.0,Unknown,table_p3_ri45_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,135.0,Unknown,table_p3_ri46_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri46_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
