paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Flu_ngg,2700.0,Unknown,table_p2_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Pyr_ngg,0.62,Unknown,table_p2_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Ind_ngg,0.62,Unknown,table_p2_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_TEF,Pyr_ngg,0.1,Unknown,table_p2_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_TEF,Ind_ngg,0.1,Unknown,table_p2_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Pyr_ngg,2300.0,Unknown,table_p2_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Nap_ngg,56.0,Unknown,table_p2_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_PRG,Sum_PAH_ngg,70.0,Unknown,table_p2_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_TEF,Sum_PAH_ngg,2.311,Unknown,table_p2_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_%_Recovery_(n=5),Ace_ngg,85.1,Unknown,table_p5_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_Coefficient_of_variation,Ace_ngg,7.1,Unknown,table_p5_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_%_Recovery_(n=5),Acy_ngg,83.2,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
