site_id,Latitude,Longitude
2253,45.75,127.47
2254,45.75,127.47
2255,45.75,127.47
2256,47.92,123.51
2257,47.92,123.51
2258,47.92,123.51
2259,47.92,123.51
2260,47.92,123.51
2261,47.92,123.51
2262,47.92,123.51
2263,47.92,123.51
2264,47.92,123.51
2265,47.92,123.51
2266,47.92,123.51
2267,47.92,123.51
2270,24.68861111111111,118.00583333333331
2273,24.48055555555555,118.07777777777775
2274,24.600833333333338,118.08194444444445
2275,24.469166666666663,118.10305555555556
2276,24.43027777777778,118.11361111111113
2277,24.47305555555555,118.09333333333332
2279,24.579722222222223,117.93972222222224
2280,24.57777777777778,117.93944444444443
2283,24.485833333333336,118.14027777777778
2284,24.565555555555555,118.03055555555557
2285,24.60333333333333,118.06555555555556
2286,24.47805555555556,118.09
2287,24.459722222222226,118.08416666666666
2288,24.578611111111112,117.93972222222224
2289,24.58,117.93944444444443
2455,31.874019444444446,105.97672777777778
2522,41.06,122.96
2529,41.0,121.22
2530,42.53,123.63
2534,42.41,123.68
2536,46.59,125.08
2539,43.89,125.32
2540,43.86,125.37
2541,43.8,125.22
2542,43.83,125.28
2543,43.87,125.42
2544,43.87,125.25
2545,43.86,125.34
2546,43.16,124.35
2548,37.03,111.91
2549,36.07,111.54
2550,38.03,114.55
2552,28.94,117.57
2560,30.92,117.8
2561,36.64,117.1
2562,31.4,121.48
